TargetMonth,TerritoryKey,ProductCategory,TargetSalesAmount
2024-01-01,T01,Security,5100
2024-01-01,T01,Analytics,5600
2024-01-01,T01,Integration,6600
2024-01-01,T01,Operations,7000
2024-01-01,T02,Security,4700
2024-01-01,T02,Analytics,5200
2024-01-01,T02,Integration,5100
2024-01-01,T02,Operations,6200
2024-01-01,T03,Security,3700
2024-01-01,T03,Analytics,3800
2024-01-01,T03,Integration,4600
2024-01-01,T03,Operations,4600
2024-01-01,T04,Security,2900
2024-01-01,T04,Analytics,3400
2024-01-01,T04,Integration,3300
2024-01-01,T04,Operations,4200
2024-02-01,T01,Security,5200
2024-02-01,T01,Analytics,5200
2024-02-01,T01,Integration,6800
2024-02-01,T01,Operations,7700
2024-02-01,T02,Security,4600
2024-02-01,T02,Analytics,4600
2024-02-01,T02,Integration,5400
2024-02-01,T02,Operations,6200
2024-02-01,T03,Security,3800
2024-02-01,T03,Analytics,4000
2024-02-01,T03,Integration,4100
2024-02-01,T03,Operations,4800
2024-02-01,T04,Security,2800
2024-02-01,T04,Analytics,3500
2024-02-01,T04,Integration,3700
2024-02-01,T04,Operations,4200
2024-03-01,T01,Security,5300
2024-03-01,T01,Analytics,6200
2024-03-01,T01,Integration,6800
2024-03-01,T01,Operations,7900
2024-03-01,T02,Security,4400
2024-03-01,T02,Analytics,4900
2024-03-01,T02,Integration,5400
2024-03-01,T02,Operations,5900
2024-03-01,T03,Security,3900
2024-03-01,T03,Analytics,4500
2024-03-01,T03,Integration,5000
2024-03-01,T03,Operations,5000
2024-03-01,T04,Security,2900
2024-03-01,T04,Analytics,3500
2024-03-01,T04,Integration,3800
2024-03-01,T04,Operations,4200
2024-04-01,T01,Security,5300
2024-04-01,T01,Analytics,6100
2024-04-01,T01,Integration,7700
2024-04-01,T01,Operations,8400
2024-04-01,T02,Security,5300
2024-04-01,T02,Analytics,6200
2024-04-01,T02,Integration,6400
2024-04-01,T02,Operations,6600
2024-04-01,T03,Security,3800
2024-04-01,T03,Analytics,4300
2024-04-01,T03,Integration,5000
2024-04-01,T03,Operations,5600
2024-04-01,T04,Security,3200
2024-04-01,T04,Analytics,3500
2024-04-01,T04,Integration,4300
2024-04-01,T04,Operations,4700
2024-05-01,T01,Security,6400
2024-05-01,T01,Analytics,6100
2024-05-01,T01,Integration,8000
2024-05-01,T01,Operations,8600
2024-05-01,T02,Security,4900
2024-05-01,T02,Analytics,6200
2024-05-01,T02,Integration,6000
2024-05-01,T02,Operations,6400
2024-05-01,T03,Security,4600
2024-05-01,T03,Analytics,4500
2024-05-01,T03,Integration,5200
2024-05-01,T03,Operations,6300
2024-05-01,T04,Security,3400
2024-05-01,T04,Analytics,3700
2024-05-01,T04,Integration,4100
2024-05-01,T04,Operations,4200
2024-06-01,T01,Security,6300
2024-06-01,T01,Analytics,6300
2024-06-01,T01,Integration,7200
2024-06-01,T01,Operations,8300
2024-06-01,T02,Security,4700
2024-06-01,T02,Analytics,5100
2024-06-01,T02,Integration,6200
2024-06-01,T02,Operations,6800
2024-06-01,T03,Security,4400
2024-06-01,T03,Analytics,4300
2024-06-01,T03,Integration,5000
2024-06-01,T03,Operations,5200
2024-06-01,T04,Security,3100
2024-06-01,T04,Analytics,3700
2024-06-01,T04,Integration,4300
2024-06-01,T04,Operations,4800
2024-07-01,T01,Security,5300
2024-07-01,T01,Analytics,5500
2024-07-01,T01,Integration,6700
2024-07-01,T01,Operations,7700
2024-07-01,T02,Security,4500
2024-07-01,T02,Analytics,5000
2024-07-01,T02,Integration,5400
2024-07-01,T02,Operations,6600
2024-07-01,T03,Security,3800
2024-07-01,T03,Analytics,3800
2024-07-01,T03,Integration,4600
2024-07-01,T03,Operations,5000
2024-07-01,T04,Security,2900
2024-07-01,T04,Analytics,3100
2024-07-01,T04,Integration,3700
2024-07-01,T04,Operations,3800
2024-08-01,T01,Security,5200
2024-08-01,T01,Analytics,6100
2024-08-01,T01,Integration,7100
2024-08-01,T01,Operations,7700
2024-08-01,T02,Security,4200
2024-08-01,T02,Analytics,5100
2024-08-01,T02,Integration,5300
2024-08-01,T02,Operations,6700
2024-08-01,T03,Security,3400
2024-08-01,T03,Analytics,4600
2024-08-01,T03,Integration,4300
2024-08-01,T03,Operations,5600
2024-08-01,T04,Security,3200
2024-08-01,T04,Analytics,3400
2024-08-01,T04,Integration,3800
