SalesOrderLineKey,OrderDate,ShipDate,InvoiceDate,CustomerKey,ProductKey,TerritoryKey,Quantity,UnitPrice,UnitCost,SalesAmount,GrossMargin
1001,2026-01-05,2026-01-08,2026-01-09,C001,P001,T01,4,1200,760,4800,1760
1002,2026-01-07,2026-01-10,2026-01-11,C002,P002,T01,2,3400,2100,6800,2600
1003,2026-01-11,2026-01-15,2026-01-16,C003,P003,T02,3,1800,950,5400,2550
1004,2026-01-14,2026-01-18,2026-01-19,C004,P004,T03,5,900,420,4500,2400
1005,2026-01-20,2026-01-23,2026-01-24,C005,P001,T04,1,1200,760,1200,440
1006,2026-02-02,2026-02-05,2026-02-06,C001,P005,T01,2,5200,3100,10400,4200
1007,2026-02-08,2026-02-11,2026-02-12,C002,P003,T01,4,1800,950,7200,3400
1008,2026-02-14,2026-02-17,2026-02-18,C003,P004,T02,6,900,420,5400,2880
1009,2026-02-21,2026-02-25,2026-02-26,C004,P002,T03,1,3400,2100,3400,1300
1010,2026-02-26,2026-03-02,2026-03-03,C005,P005,T04,1,5200,3100,5200,2100
1011,2026-03-04,2026-03-08,2026-03-09,C001,P004,T01,7,900,420,6300,3360
1012,2026-03-09,2026-03-13,2026-03-14,C002,P001,T01,3,1200,760,3600,1320
1013,2026-03-12,2026-03-16,2026-03-17,C003,P002,T02,2,3400,2100,6800,2600
1014,2026-03-17,2026-03-21,2026-03-22,C004,P003,T03,2,1800,950,3600,1700
1015,2026-03-25,2026-03-28,2026-03-29,C005,P004,T04,4,900,420,3600,1920

