CustomerKey,CustomerName,CustomerType,CustomerState,CustomerRegion
C001,Northwind Health,Enterprise,VA,East
C002,Contoso Defense,Government,MD,East
C003,Fabrikam Energy,Enterprise,TX,Central
C004,Wide World Logistics,Commercial,WA,West
C005,Adventure Works Gov,Government,CO,West
C006,VanArsdel Health,Enterprise,CA,West
C007,Blue Yonder Logistics,Commercial,UT,West
C008,Trey Research Holdings,Enterprise,TX,Central
C009,Margie's Travel Manufacturing,Enterprise,OR,West
C010,Lucerne Publishing Labs,Government,OR,West
C011,Cobalt Holdings,Commercial,KS,Central
C012,Graphic Design Institute Telecom,Enterprise,OH,Central
C013,Northwind Logistics,Enterprise,FL,East
C014,Adventure Works Group,Enterprise,KS,Central
C015,Redwood Solutions,Enterprise,FL,East
C016,Best For You Organics Labs,Enterprise,NV,West
C017,Lucerne Publishing Energy,Commercial,MA,East
C018,Trey Research Manufacturing,Enterprise,FL,East
C019,Wide World Financial,Enterprise,OH,Central
C020,Alpine Ski House Dynamics,Government,WA,West
C021,Graphic Design Institute Solutions,Enterprise,CO,West
C022,Cascade Insurance,Government,UT,West
C023,Fabrikam Defense,Commercial,VA,East
C024,Summit Insurance,Commercial,MA,East
C025,Fabrikam Retail,Enterprise,AZ,West
C026,Redwood Gov,Enterprise,IL,Central
C027,Anchor Solutions,Government,WI,Central
C028,Summit Foods,Government,NY,East
C029,Trey Research Defense,Government,NY,East
C030,Meridian Group,Enterprise,FL,East
C031,Redwood Systems,Commercial,MN,Central
C032,Tailspin Dynamics,Government,WA,West
C033,Pinnacle Insurance,Enterprise,CA,West
C034,Meridian Financial,Commercial,TX,Central
C035,City Power Systems,Commercial,MD,East
C036,Contoso Labs,Enterprise,OR,West
C037,Pinnacle Systems,Government,GA,East
C038,VanArsdel Foods,Enterprise,IL,Central
C039,Trey Research Energy,Commercial,AZ,West
C040,Pinnacle Gov,Commercial,PA,East
C041,Graphic Design Institute Insurance,Government,NV,West
C042,Margie's Travel Solutions,Enterprise,UT,West
C043,Contoso Airlines,Enterprise,UT,West
C044,Vantage Utilities,Enterprise,MA,East
C045,Anchor Manufacturing,Enterprise,CO,West
C046,Proseware Manufacturing,Commercial,VA,East
C047,Relecloud Systems,Government,NC,East
C048,Blue Yonder Holdings,Enterprise,AZ,West
C049,Sterling Telecom,Enterprise,MD,East
C050,Meridian Foods,Government,MO,Central
C051,Proseware Dynamics,Enterprise,UT,West
C052,Summit University,Enterprise,MA,East
C053,Pinnacle Utilities,Enterprise,FL,East
C054,Redwood Manufacturing,Commercial,PA,East
C055,Anchor Logistics,Commercial,VA,East
C056,Consolidated Messenger Financial,Government,MO,Central
C057,Summit Defense,Enterprise,FL,East
C058,Redwood Media,Commercial,WI,Central
C059,Anchor Dynamics,Enterprise,AZ,West
C060,Best For You Organics Retail,Commercial,VA,East
C061,Proseware Defense,Government,AZ,West
C062,Vantage Financial,Commercial,MD,East
C063,Relecloud Group,Government,MA,East
C064,Consolidated Messenger Holdings,Government,WA,West
C065,Harbor Dynamics,Government,OR,West
C066,City Power Retail,Enterprise,UT,West
C067,City Power Airlines,Government,NC,East
C068,Relecloud Health,Commercial,MN,Central
C069,Woodgrove Energy,Government,CO,West
C070,Blue Yonder Foods,Enterprise,MA,East
C071,Graphic Design Institute Utilities,Enterprise,UT,West
C072,Vantage Health,Government,NV,West
C073,Woodgrove Gov,Commercial,TX,Central
C074,Anchor Gov,Government,OH,Central
C075,Northwind Retail,Commercial,UT,West
C076,Granite Partners,Enterprise,KS,Central
C077,Meridian Insurance,Enterprise,VA,East
C078,Blue Yonder Labs,Commercial,IL,Central
C079,Anchor Telecom,Enterprise,WA,West
C080,Coho Vineyard Solutions,Government,GA,East
C081,Coho Vineyard Telecom,Enterprise,VA,East
C082,Litware Foods,Government,MA,East
C083,Adventure Works Solutions,Commercial,MN,Central
C084,Humongous Insurance Telecom,Commercial,NY,East
C085,Northwind Telecom,Commercial,NV,West
C086,Consolidated Messenger Insurance,Enterprise,MD,East
C087,Litware Partners,Commercial,MA,East
C088,Redwood Foods,Commercial,KS,Central
C089,Nod Publishers Manufacturing,Enterprise,MA,East
C090,Alpine Ski House Energy,Government,OH,Central
C091,Summit Dynamics,Commercial,CA,West
C092,VanArsdel Insurance,Enterprise,NC,East
C093,Fabrikam Telecom,Enterprise,OR,West
C094,Lucerne Publishing Insurance,Enterprise,FL,East
C095,Pinnacle Dynamics,Commercial,UT,West
C096,Lucerne Publishing Foods,Commercial,TX,Central
C097,Northwind Group,Commercial,WI,Central
C098,Contoso Systems,Government,WI,Central
C099,Summit Media,Enterprise,CO,West
C100,Cascade Dynamics,Government,CO,West
C101,Anchor Health,Enterprise,OH,Central
C102,Fabrikam Utilities,Government,MO,Central
C103,Graphic Design Institute Dynamics,Government,NC,East
C104,Northwind Energy,Enterprise,NC,East
C105,Lucerne Publishing Gov,Enterprise,VA,East
C106,Sterling Group,Government,PA,East
C107,Lucerne Publishing Airlines,Enterprise,MO,Central
C108,Tailspin Logistics,Enterprise,IL,Central
C109,Proseware Solutions,Government,MD,East
C110,Redwood Dynamics,Government,OR,West
C111,Cobalt Group,Government,OR,West
C112,Anchor Utilities,Government,PA,East
C113,Consolidated Messenger Labs,Commercial,KS,Central
C114,Beacon Labs,Government,NC,East
C115,Best For You Organics Manufacturing,Enterprise,OH,Central
C116,Pinnacle Energy,Enterprise,NY,East
C117,Coho Vineyard Retail,Government,FL,East
C118,Harbor Defense,Enterprise,FL,East
C119,Fourth Coffee Holdings,Enterprise,MO,Central
C120,Adventure Works Media,Commercial,KS,Central
