CustomerKey,Segment
C001,Healthcare
C001,Regulated
C002,Defense
C002,Azure Government
C002,Regulated
C003,Energy
C003,Enterprise
C004,Logistics
C004,Commercial
C005,Azure Government
C005,Regulated
C006,Energy
C007,Regulated
C008,Logistics
C009,Regulated
C010,Manufacturing
C010,Education
C011,Defense
C012,Retail
C013,Energy
C013,Regulated
C014,Regulated
C015,Retail
C015,Logistics
C016,Nonprofit
C016,Retail
C017,Azure Government
C017,Retail
C018,Logistics
C018,Commercial
C019,Energy
C020,Logistics
C020,Energy
C021,Nonprofit
C021,Healthcare
C022,Financial Services
C022,Regulated
C023,Manufacturing
C024,Energy
C025,Regulated
C025,Defense
C026,Defense
C027,Regulated
C027,Defense
C028,Logistics
C029,Financial Services
C030,Commercial
C030,Energy
C031,Azure Government
C032,Financial Services
C033,Financial Services
C034,Regulated
C035,Azure Government
C035,Energy
C036,Nonprofit
C036,Manufacturing
C037,Logistics
C038,Public Sector
C039,Manufacturing
C040,Energy
C041,Regulated
C042,Defense
C043,Nonprofit
C044,Education
C044,Nonprofit
C045,Commercial
C046,Commercial
C047,Energy
C047,Financial Services
C048,Energy
C049,Public Sector
C049,Commercial
C050,Regulated
C051,Healthcare
C051,Logistics
C052,Enterprise
C052,Nonprofit
C053,Healthcare
C054,Azure Government
C055,Education
C055,Nonprofit
C056,Healthcare
C056,Retail
C057,Education
C057,Energy
C058,Healthcare
C058,Retail
C059,Commercial
C060,Manufacturing
C060,Commercial
C061,Defense
C062,Logistics
C062,Manufacturing
C063,Regulated
C064,Enterprise
C065,Enterprise
C066,Manufacturing
C067,Education
C068,Enterprise
C069,Financial Services
C070,Energy
C071,Logistics
C071,Retail
C072,Healthcare
C072,Commercial
C073,Enterprise
C074,Enterprise
C075,Retail
C076,Education
C077,Education
C077,Healthcare
C078,Education
C078,Public Sector
C079,Logistics
C080,Azure Government
C081,Enterprise
C081,Nonprofit
C082,Manufacturing
C083,Retail
C084,Azure Government
C085,Public Sector
C086,Energy
C087,Financial Services
C088,Regulated
C089,Manufacturing
C090,Retail
C090,Azure Government
C091,Defense
C091,Energy
C092,Healthcare
C092,Public Sector
C093,Regulated
C094,Education
C095,Commercial
C096,Manufacturing
C097,Commercial
C098,Energy
C098,Public Sector
C099,Energy
C099,Logistics
C100,Commercial
C101,Commercial
C102,Defense
C102,Logistics
C103,Nonprofit
C104,Financial Services
C104,Defense
C105,Energy
C106,Enterprise
C107,Energy
C107,Healthcare
C108,Financial Services
C109,Education
C110,Nonprofit
C110,Manufacturing
C111,Education
C112,Commercial
C113,Commercial
C113,Enterprise
C114,Public Sector
C115,Logistics
C115,Commercial
C116,Education
C117,Financial Services
C118,Nonprofit
C119,Azure Government
C120,Healthcare
